dataset_index,v1_instruction,v2_instruction,input,v1_output,v2_output,system
42901,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“BR”的选项。,"身份：landlord
手牌：34566779TTJQQKAA22BR
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. BR (王炸)
2. 34567 (顺子)
3. 9TJQK (顺子)
4. TJQKA (顺子)
5. 9TJQKA (顺子)
6. 77 (对子)
7. 66 (对子)
8. 22 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出王炸，主动出击争取掌控比赛节奏 出牌：BR。,在当前局势下，打出“BR”本是最优策略，但由于特殊规则禁止出“BR”，为了遵守指令，我选择次优方案打出“34567”。 出牌：34567。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43006,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“QQKKAA”的选项。,"身份：landlord
手牌：349TQQKKAA
历史出牌：P1:pass -> P2:44 -> P0:77 -> P1:pass -> P2:pass
局势信息：剩余牌数:[10, 9, 13]

当前可行出牌选项：
1. QQKKAA (连对)
2. KK (对子)
3. AA (对子)
4. QQ (对子)
5. 3 (单张)
6. 4 (单张)
7. 9 (单张)
8. T (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",打出QQKKAA，夺取牌权 出牌：QQKKAA。,在当前局势下，打出“QQKKAA”本是最优策略，但由于特殊规则禁止出“QQKKAA”，为了遵守指令，我选择次优方案打出“KK”。 出牌：KK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43029,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9TJQK”的选项。,"身份：peasant_down
手牌：3334457889TJQKA2
历史出牌：P0:2 -> P1:R -> P2:pass -> P0:pass
局势信息：剩余牌数:[19, 16, 17]

当前可行出牌选项：
1. 9TJQK (顺子)
2. TJQKA (顺子)
3. 9TJQKA (顺子)
4. 789TJQKA (顺子)
5. 789TJ (顺子)
6. 789TJQK (顺子)
7. 89TJQ (顺子)
8. 89TJQK (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子9TJQK，长牌一次性消耗多张，抢占节奏优势 出牌：9TJQK。,在当前局势下，打出“9TJQK”本是最优策略，但由于特殊规则禁止出“9TJQK”，为了遵守指令，我选择次优方案打出“TJQKA”。 出牌：TJQKA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43065,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“JJJ22”的选项。,"身份：landlord
手牌：34466679JJJK22B
历史出牌：P0:89TJQ -> P1:pass -> P2:pass
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. JJJ22 (三带二)
2. 44666 (三带二)
3. 666B (三带一)
4. 4JJJ (三带一)
5. 666 (三张)
6. JJJ (三张)
7. 66 (对子)
8. 44 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出JJJ带对2，组合出牌消耗对2，保留小王后手 出牌：JJJ22。,在当前局势下，打出“JJJ22”本是最优策略，但由于特殊规则禁止出“JJJ22”，为了遵守指令，我选择次优方案打出“44666”。 出牌：44666。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43081,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7”的选项。,"身份：landlord
手牌：334556678TTJQQAAB
历史出牌：P1:R -> P2:pass -> P0:pass -> P1:5 -> P2:6
局势信息：剩余牌数:[17, 9, 11]

当前可行出牌选项：
1. 7 (单张)
2. 8 (单张)
3. J (单张)
4. T (单张)
5. Q (单张)
6. B (单张)
7. A (单张)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张7，刚好压住6，保持牌力优势 出牌：7。,在当前局势下，打出“7”本是最优策略，但由于特殊规则禁止出“7”，为了遵守指令，我选择次优方案打出“8”。 出牌：8。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43376,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“A”的选项。,"身份：peasant_down
手牌：3344455TKA2
历史出牌：P2:6 -> P0:pass -> P1:J -> P2:K -> P0:pass
局势信息：剩余牌数:[9, 11, 13]

当前可行出牌选项：
1. A (单张)
2. 2 (单张)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",打出单张A，夺取牌权 出牌：A。,在当前局势下，打出“A”本是最优策略，但由于特殊规则禁止出“A”，为了遵守指令，我选择次优方案打出“2”。 出牌：2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43381,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“A”的选项。,"身份：peasant_down
手牌：335567799TKKA2
历史出牌：P2:pass -> P0:pass -> P1:4 -> P2:6 -> P0:T
局势信息：剩余牌数:[14, 14, 16]

当前可行出牌选项：
1. A (单张)
2. 2 (单张)
3. K (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张A，刚好压住t，保持牌力优势 出牌：A。,在当前局势下，打出“A”本是最优策略，但由于特殊规则禁止出“A”，为了遵守指令，我选择次优方案打出“2”。 出牌：2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43416,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“44”的选项。,"身份：peasant_down
手牌：3445567799TTJAA2R
历史出牌：P0:66688 -> P1:pass -> P2:pass -> P0:33
局势信息：剩余牌数:[13, 17, 17]

当前可行出牌选项：
1. 44 (对子)
2. 55 (对子)
3. 77 (对子)
4. 99 (对子)
5. TT (对子)
6. AA (对子)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制33，出对4刚好压住，保留大牌后手 出牌：44。,在当前局势下，打出“44”本是最优策略，但由于特殊规则禁止出“44”，为了遵守指令，我选择次优方案打出“55”。 出牌：55。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43703,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“333JJ”的选项。,"身份：landlord
手牌：3334456699TJJKK2
历史出牌：P0:QAAA -> P1:pass -> P2:pass
局势信息：剩余牌数:[16, 17, 17]

当前可行出牌选项：
1. 333JJ (三带二)
2. 333T (三带一)
3. 333 (三张)
4. 66 (对子)
5. 44 (对子)
6. 33 (对子)
7. KK (对子)
8. JJ (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手333带对J，组合消耗中段牌，2留作压制  出牌：333JJ。,在当前局势下，打出“333JJ”本是最优策略，但由于特殊规则禁止出“333JJ”，为了遵守指令，我选择次优方案打出“333T”。 出牌：333T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43919,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“B”的选项。,"身份：peasant_up
手牌：334457789TJAA22B
历史出牌：P0:pass -> P1:9 -> P2:Q -> P0:A -> P1:pass
局势信息：剩余牌数:[12, 15, 16]

当前可行出牌选项：
1. B (单张)
2. 2 (单张)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出单张小王，强势控场，限制对手出牌 出牌：B。,在当前局势下，打出“B”本是最优策略，但由于特殊规则禁止出“B”，为了遵守指令，我选择次优方案打出“2”。 出牌：2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
43954,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“K”的选项。,"身份：landlord
手牌：345577KAAA
历史出牌：P1:pass -> P2:2 -> P0:pass -> P1:pass -> P2:8
局势信息：剩余牌数:[10, 15, 10]

当前可行出牌选项：
1. K (单张)
2. A (单张)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌单张k顶上去，精准压制夺取牌权 出牌：K。,在当前局势下，打出“K”本是最优策略，但由于特殊规则禁止出“K”，为了遵守指令，我选择次优方案打出“A”。 出牌：A。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
44087,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“TT”的选项。,"身份：landlord
手牌：4556778TTJJ2
历史出牌：P1:QQQQ -> P2:pass -> P0:pass -> P1:77 -> P2:99
局势信息：剩余牌数:[12, 11, 15]

当前可行出牌选项：
1. TT (对子)
2. JJ (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出对10，最小代价压制，2留作后手 出牌：TT。,在当前局势下，打出“TT”本是最优策略，但由于特殊规则禁止出“TT”，为了遵守指令，我选择次优方案打出“JJ”。 出牌：JJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
44391,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9”的选项。,"身份：peasant_up
手牌：4556788899JQQA2B
历史出牌：P0:R -> P1:pass -> P2:pass -> P0:5 -> P1:8
局势信息：剩余牌数:[11, 15, 16]

当前可行出牌选项：
1. 9 (单张)
2. J (单张)
3. A (单张)
4. Q (单张)
5. 2 (单张)
6. B (单张)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制8，出单张9刚好压住，保留大牌后手，拆了对9，但消耗中段牌 出牌：9。,在当前局势下，打出“9”本是最优策略，但由于特殊规则禁止出“9”，为了遵守指令，我选择次优方案打出“J”。 出牌：J。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
44545,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“T”的选项。,"身份：landlord
手牌：3344566789TTTJQQ22
历史出牌：P1:pass -> P2:2 -> P0:pass -> P1:pass -> P2:9
局势信息：剩余牌数:[18, 15, 14]

当前可行出牌选项：
1. T (单张)
2. J (单张)
3. Q (单张)
4. 2 (单张)
5. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",出单张10刚好压住9，保留2个2作为底牌 出牌：T。,在当前局势下，打出“T”本是最优策略，但由于特殊规则禁止出“T”，为了遵守指令，我选择次优方案打出“J”。 出牌：J。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
44630,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“445566”的选项。,"身份：landlord
手牌：34455668TJQKA2B
历史出牌：P0:789TJ -> P1:pass -> P2:pass
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. 445566 (连对)
2. TJQKA (顺子)
3. 55 (对子)
4. 66 (对子)
5. 44 (对子)
6. 5 (单张)
7. 3 (单张)
8. 6 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",打出445566，夺取牌权 出牌：445566。,在当前局势下，打出“445566”本是最优策略，但由于特殊规则禁止出“445566”，为了遵守指令，我选择次优方案打出“TJQKA”。 出牌：TJQKA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
44664,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“55KKK”的选项。,"身份：peasant_up
手牌：33355789KKK
历史出牌：P0:pass -> P1:pass -> P2:666J -> P0:pass -> P1:pass
局势信息：剩余牌数:[11, 12, 11]

当前可行出牌选项：
1. 55KKK (三带二)
2. 33355 (三带二)
3. 8KKK (三带一)
4. 3335 (三带一)
5. 333 (三张)
6. KKK (三张)
7. 55 (对子)
8. 33 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手kkk带对5，组合消耗中段牌，大牌留作压制 出牌：55KKK。,在当前局势下，打出“55KKK”本是最优策略，但由于特殊规则禁止出“55KKK”，为了遵守指令，我选择次优方案打出“33355”。 出牌：33355。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
44839,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“Q”的选项。,"身份：peasant_up
手牌：34555679TJJQKA222
历史出牌：P0:T -> P1:pass
局势信息：剩余牌数:[19, 17, 17]

当前可行出牌选项：
1. Q (单张)
2. K (单张)
3. A (单张)
4. J (单张)
5. 2 (单张)
6. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出单张Q，3个2留作后手 出牌：Q。,在当前局势下，打出“Q”本是最优策略，但由于特殊规则禁止出“Q”，为了遵守指令，我选择次优方案打出“K”。 出牌：K。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45077,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“888AA”的选项。,"身份：landlord
手牌：34456888JQKAA
历史出牌：P1:pass -> P2:AA -> P0:22 -> P1:pass -> P2:pass
局势信息：剩余牌数:[13, 17, 11]

当前可行出牌选项：
1. 888AA (三带二)
2. 4888 (三带一)
3. 888 (三张)
4. 44 (对子)
5. AA (对子)
6. 5 (单张)
7. 88 (对子)
8. 3 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出888带对A，带走废对优化牌型 出牌：888AA。,在当前局势下，打出“888AA”本是最优策略，但由于特殊规则禁止出“888AA”，为了遵守指令，我选择次优方案打出“4888”。 出牌：4888。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45219,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6”的选项。,"身份：peasant_down
手牌：345566678JQQKAA2B
历史出牌：P0:8999 -> P1:pass -> P2:pass -> P0:5
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. 6 (单张)
2. 7 (单张)
3. 8 (单张)
4. J (单张)
5. K (单张)
6. Q (单张)
7. 2 (单张)
8. B (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌单张6精准压制，最小代价夺取牌权 出牌：6。,在当前局势下，打出“6”本是最优策略，但由于特殊规则禁止出“6”，为了遵守指令，我选择次优方案打出“7”。 出牌：7。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45271,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7”的选项。,"身份：peasant_up
手牌：678TJK2R
历史出牌：P0:6 -> P1:J -> P2:2 -> P0:pass -> P1:pass
局势信息：剩余牌数:[12, 16, 8]

当前可行出牌选项：
1. 7 (单张)
2. 6 (单张)
3. J (单张)
4. K (单张)
5. R (单张)
6. 8 (单张)
7. 2 (单张)
8. T (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出单张7，清理散牌优化牌型，2大王作为底牌 出牌：7。,在当前局势下，打出“7”本是最优策略，但由于特殊规则禁止出“7”，为了遵守指令，我选择次优方案打出“6”。 出牌：6。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45324,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6789T”的选项。,"身份：peasant_up
手牌：4667789TJJQKK22
历史出牌：P0:pass -> P1:5 -> P2:R -> P0:pass -> P1:pass
局势信息：剩余牌数:[15, 9, 15]

当前可行出牌选项：
1. 6789T (顺子)
2. 789TJ (顺子)
3. 89TJQ (顺子)
4. 6789TJ (顺子)
5. 6789TJQ (顺子)
6. 789TJQ (顺子)
7. 789TJQK (顺子)
8. 89TJQK (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子6789T，长牌一次性消耗多张，抢占节奏优势 出牌：6789T。,在当前局势下，打出“6789T”本是最优策略，但由于特殊规则禁止出“6789T”，为了遵守指令，我选择次优方案打出“789TJ”。 出牌：789TJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45365,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“T”的选项。,"身份：peasant_up
手牌：3344557889TTTJJA2
历史出牌：P0:7 -> P1:9
局势信息：剩余牌数:[19, 16, 17]

当前可行出牌选项：
1. T (单张)
2. J (单张)
3. A (单张)
4. 2 (单张)
5. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张10，刚好压住9，保持牌力优势 出牌：T。,在当前局势下，打出“T”本是最优策略，但由于特殊规则禁止出“T”，为了遵守指令，我选择次优方案打出“J”。 出牌：J。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45452,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“5”的选项。,"身份：peasant_up
手牌：344558899TTQKKAA2
历史出牌：P0:789TJ -> P1:pass -> P2:pass -> P0:4 -> P1:pass
局势信息：剩余牌数:[14, 17, 17]

当前可行出牌选项：
1. 5 (单张)
2. Q (单张)
3. 2 (单张)
4. 8 (单张)
5. 9 (单张)
6. T (单张)
7. K (单张)
8. A (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出单张5，清理散牌优化牌型，2作为底牌 出牌：5。,在当前局势下，打出“5”本是最优策略，但由于特殊规则禁止出“5”，为了遵守指令，我选择次优方案打出“Q”。 出牌：Q。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45639,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“55”的选项。,"身份：landlord
手牌：34559T
历史出牌：P1:pass -> P2:pass -> P0:JJQQKKAA -> P1:pass -> P2:pass
局势信息：剩余牌数:[6, 16, 16]

当前可行出牌选项：
1. 55 (对子)
2. 5 (单张)
3. 3 (单张)
4. 4 (单张)
5. 9 (单张)
6. T (单张)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出对5试探对手，废牌先走，大牌压阵 出牌：55。,在当前局势下，打出“55”本是最优策略，但由于特殊规则禁止出“55”，为了遵守指令，我选择次优方案打出“5”。 出牌：5。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45651,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“556677”的选项。,"身份：peasant_up
手牌：3455667789JQKAA2
历史出牌：P0:8 -> P1:J -> P2:K -> P0:pass -> P1:pass
局势信息：剩余牌数:[9, 10, 16]

当前可行出牌选项：
1. 556677 (连对)
2. 3456789 (顺子)
3. 345678 (顺子)
4. 34567 (顺子)
5. 45678 (顺子)
6. 56789 (顺子)
7. 456789 (顺子)
8. 77 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出连对，长牌优先消耗，避免被拆散 出牌：556677。,在当前局势下，打出“556677”本是最优策略，但由于特殊规则禁止出“556677”，为了遵守指令，我选择次优方案打出“3456789”。 出牌：3456789。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45772,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“44”的选项。,"身份：peasant_down
手牌：344568TJQQQAAB
历史出牌：P2:T -> P0:A -> P1:pass -> P2:pass -> P0:33
局势信息：剩余牌数:[10, 14, 16]

当前可行出牌选项：
1. 44 (对子)
2. AA (对子)
3. QQ (对子)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌对4，刚好压住33，保持牌力优势 出牌：44。,在当前局势下，打出“44”本是最优策略，但由于特殊规则禁止出“44”，为了遵守指令，我选择次优方案打出“AA”。 出牌：AA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45779,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“QQ”的选项。,"身份：peasant_up
手牌：334566679TJJQQAAB
历史出牌：P0:A222 -> P1:pass -> P2:pass -> P0:77 -> P1:JJ
局势信息：剩余牌数:[10, 15, 17]

当前可行出牌选项：
1. QQ (对子)
2. AA (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",打出对QQ，夺取牌权 出牌：QQ。,在当前局势下，打出“QQ”本是最优策略，但由于特殊规则禁止出“QQ”，为了遵守指令，我选择次优方案打出“AA”。 出牌：AA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
45988,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“JJJJ”的选项。,"身份：peasant_down
手牌：355699JJJJQQKKA22
历史出牌：P0:3337
局势信息：剩余牌数:[16, 17, 17]

当前可行出牌选项：
1. JJJJ (炸弹)
2. 3JJJ (三带一)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",炸弹JJJJ强势压制 出牌：JJJJ。,在当前局势下，打出“JJJJ”本是最优策略，但由于特殊规则禁止出“JJJJ”，为了遵守指令，我选择次优方案打出“3JJJ”。 出牌：3JJJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
46190,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“55QQKKKAAA”的选项。,"身份：landlord
手牌：45558899TQQKKKAAA22B
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 55QQKKKAAA (飞机带对)
2. QQKKKAAA (飞机带单)
3. KKKAAA (飞机)
4. 55599 (三带二)
5. 55AAA (三带二)
6. KKK22 (三带二)
7. 4555 (三带一)
8. 4KKK (三带一)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出飞机10张，长牌优先消耗，避免被拆散 出牌：55QQKKKAAA。,在当前局势下，打出“55QQKKKAAA”本是最优策略，但由于特殊规则禁止出“55QQKKKAAA”，为了遵守指令，我选择次优方案打出“QQKKKAAA”。 出牌：QQKKKAAA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
46245,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“44JJJQQQKK”的选项。,"身份：landlord
手牌：4456788999TJJJQQQKK2
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 44JJJQQQKK (飞机带对)
2. 4JJJQQQ2 (飞机带单)
3. JJJQQQ (飞机)
4. 56789TJQ (顺子)
5. 45678 (顺子)
6. 56789 (顺子)
7. 456789TJ (顺子)
8. 456789T (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出飞机10张，长牌一次性消耗多张，抢占节奏优势 出牌：44JJJQQQKK。,在当前局势下，打出“44JJJQQQKK”本是最优策略，但由于特殊规则禁止出“44JJJQQQKK”，为了遵守指令，我选择次优方案打出“4JJJQQQ2”。 出牌：4JJJQQQ2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
46275,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“TTTT”的选项。,"身份：peasant_down
手牌：33557789TTTTJQKKR
历史出牌：P0:44477
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. TTTT (炸弹)
2. 33TTT (三带二)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌炸弹10精准压制，最小代价夺取牌权 出牌：TTTT。,在当前局势下，打出“TTTT”本是最优策略，但由于特殊规则禁止出“TTTT”，为了遵守指令，我选择次优方案打出“33TTT”。 出牌：33TTT。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
46303,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6”的选项。,"身份：peasant_up
手牌：334678TJJQQKKA22B
历史出牌：P0:888 -> P1:999 -> P2:pass -> P0:pass -> P1:5
局势信息：剩余牌数:[17, 13, 17]

当前可行出牌选项：
1. 6 (单张)
2. 7 (单张)
3. 8 (单张)
4. T (单张)
5. J (单张)
6. A (单张)
7. Q (单张)
8. B (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制5，出单张6刚好压住，保留大牌后手 出牌：6。,在当前局势下，打出“6”本是最优策略，但由于特殊规则禁止出“6”，为了遵守指令，我选择次优方案打出“7”。 出牌：7。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
46359,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“K”的选项。,"身份：peasant_up
手牌：44778889TJJQKAA2
历史出牌：P0:K -> P1:2 -> P2:pass -> P0:pass -> P1:Q
局势信息：剩余牌数:[8, 14, 16]

当前可行出牌选项：
1. K (单张)
2. 2 (单张)
3. A (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制q，出单张K刚好压住，保留大牌后手 出牌：K。,在当前局势下，打出“K”本是最优策略，但由于特殊规则禁止出“K”，为了遵守指令，我选择次优方案打出“2”。 出牌：2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
46439,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7”的选项。,"身份：peasant_down
手牌：344578TJQQAA2
历史出牌：P2:TT -> P0:22 -> P1:pass -> P2:pass -> P0:6
局势信息：剩余牌数:[11, 13, 14]

当前可行出牌选项：
1. 7 (单张)
2. 8 (单张)
3. T (单张)
4. J (单张)
5. Q (单张)
6. 2 (单张)
7. A (单张)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制6，出单张7刚好压住，保留大牌后手 出牌：7。,在当前局势下，打出“7”本是最优策略，但由于特殊规则禁止出“7”，为了遵守指令，我选择次优方案打出“8”。 出牌：8。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
46479,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“888AA”的选项。,"身份：landlord
手牌：34467888TTJJQKAA222R
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 888AA (三带二)
2. AA222 (三带二)
3. TJQKA (顺子)
4. 4888 (三带一)
5. 4222 (三带一)
6. 888 (三张)
7. 222 (三张)
8. 44 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出888带对A，批量出清，3个2大王作为后手 出牌：888AA。,在当前局势下，打出“888AA”本是最优策略，但由于特殊规则禁止出“888AA”，为了遵守指令，我选择次优方案打出“AA222”。 出牌：AA222。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
46502,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“KK”的选项。,"身份：peasant_down
手牌：34588TQKKAA2
历史出牌：P0:34567 -> P1:789TJ -> P2:pass -> P0:pass
局势信息：剩余牌数:[15, 12, 17]

当前可行出牌选项：
1. KK (对子)
2. 88 (对子)
3. AA (对子)
4. 5 (单张)
5. 3 (单张)
6. 4 (单张)
7. 2 (单张)
8. Q (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手对K出击，压制对手争取优势 出牌：KK。,在当前局势下，打出“KK”本是最优策略，但由于特殊规则禁止出“KK”，为了遵守指令，我选择次优方案打出“88”。 出牌：88。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
